Run,Goal,Name,File,Number of Procs,realTimeON,expElementType,holdPierON,h_water,gmDir,gmVelFile,gmStartTime,DT_FACTOR,gmScaleFactor,soilProfile,soilEleType,soilConstitutive,soilMesh,eqIntegrator,prePartitionSystem,postPartitionSystem,constraintsHandler,rayleighT1,rayleighT2,rayleighXi1,rayleighXi2,rayleighOffFac,rayleighStiff,rayleighSoilON,rayleighBoundON,rayleighSprPileON,rayleighSprCapFaceON,rayleighSprSoffitON,rayleighPilesON,rayleighCapON,rayleighDeckON,rayleighPierON,rayleighPierHingeON
1,MP CUDA integrator+solver,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0.0,10,1.0,4 (SOFT),SSPQuad,Inelastic,1 (FINE),CudaMKRAlpha 0.5,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.20,1.0e-8,committed,0,0,0,0,0,0,0,0,1,1
2,MP CPU integrator CUDA solver,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0.0,10,1.0,4 (SOFT),SSPQuad,Inelastic,1 (FINE),MKRAlphaExplicitMultiSOE 0.5,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.20,1.0e-8,committed,0,0,0,0,0,0,0,0,1,1
3,MP CPU integrator+solver,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0.0,10,1.0,4 (SOFT),SSPQuad,Inelastic,1 (FINE),MKRAlphaExplicitMultiSOE 0.5,UmfPack,Mumps,Transformation,2.3,0.07746,0.03,0.20,1.0e-8,committed,0,0,0,0,0,0,0,0,1,1
4,Serial CUDA integrator+solver,Storm Wave,Run.tcl,1,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0.0,10,1.0,4 (SOFT),SSPQuad,Inelastic,1 (FINE),CudaMKRAlpha 0.5,UmfPack,CuDSS,Transformation,2.3,0.07746,0.03,0.20,1.0e-8,committed,0,0,0,0,0,0,0,0,1,1
5,Serial CPU integrator CUDA solver,Storm Wave,Run.tcl,1,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0.0,10,1.0,4 (SOFT),SSPQuad,Inelastic,1 (FINE),MKRAlphaExplicitMultiSOE 0.5,UmfPack,CuDSS,Transformation,2.3,0.07746,0.03,0.20,1.0e-8,committed,0,0,0,0,0,0,0,0,1,1
6,Serial Baseline,Storm Wave,Run.tcl,1,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0.0,10,1.0,4 (SOFT),SSPQuad,Inelastic,1 (FINE),MKRAlphaExplicitMultiSOE 0.5,UmfPack,UmfPack,Transformation,2.3,0.07746,0.03,0.20,1.0e-8,committed,0,0,0,0,0,0,0,0,1,1
7,Tsunami,Big Tsunami,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0.0,10,1.0,4 (SOFT),SSPQuad,Inelastic,1 (FINE),CudaMKRAlpha 0.5,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.20,1.0e-8,committed,0,0,0,0,0,0,0,0,1,1
8,Finer Mesh,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0.0,10,1.0,4 (SOFT),SSPQuad,Inelastic,2 (FINE+),CudaMKRAlpha 0.5,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.20,1.0e-8,committed,0,0,0,0,0,0,0,0,1,1
9,More Damage in the Pier,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0.0,10,1.0,3 (STIFF),SSPQuad,Inelastic,1 (FINE),CudaMKRAlpha 0.5,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.20,1.0e-8,committed,0,0,0,0,0,0,0,0,1,1
10,Elastic Soil,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0.0,10,1.0,4 (SOFT),SSPQuad,Elastic,1 (FINE),CudaMKRAlpha 0.5,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.20,1.0e-8,committed,0,0,0,0,0,0,0,0,1,1
