
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2026-08-13


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Imperial Valley-02
Station Name:, El Centro
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 6, -, 1.0, -, 17.7, 24.2, 1.6, "Imperial Valley-02", 1940, "El Centro Array #9", 6.95, strike slip, 6.09, 6.09, 213.44, 0.25, 1.0, RSN6_IMPVALL.I_I-ELC180.AT2, RSN6_IMPVALL.I_I-ELC270.AT2 , RSN6_IMPVALL.I_I-ELC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-6 SRSS pSa (g)
0.01,0.35244861,0.35244861,0.35244861,0.35244861
0.02,0.35127055,0.35127055,0.35127055,0.35127055
0.022,0.35145621,0.35145621,0.35145621,0.35145621
0.025,0.35173777,0.35173777,0.35173777,0.35173777
0.029,0.35217941,0.35217941,0.35217941,0.35217941
0.03,0.35231458,0.35231458,0.35231458,0.35231458
0.032,0.35262349,0.35262349,0.35262349,0.35262349
0.035,0.35309807,0.35309807,0.35309807,0.35309807
0.036,0.35328451,0.35328451,0.35328451,0.35328451
0.04,0.35419141,0.35419141,0.35419141,0.35419141
0.042,0.35470111,0.35470111,0.35470111,0.35470111
0.044,0.35513951,0.35513951,0.35513951,0.35513951
0.045,0.35549782,0.35549782,0.35549782,0.35549782
0.046,0.3558397,0.3558397,0.3558397,0.3558397
0.048,0.35622957,0.35622957,0.35622957,0.35622957
0.05,0.35642475,0.35642475,0.35642475,0.35642475
0.055,0.35824076,0.35824076,0.35824076,0.35824076
0.06,0.37909783,0.37909783,0.37909783,0.37909783
0.065,0.40014862,0.40014862,0.40014862,0.40014862
0.067,0.40023374,0.40023374,0.40023374,0.40023374
0.07,0.40411341,0.40411341,0.40411341,0.40411341
0.075,0.43964334,0.43964334,0.43964334,0.43964334
0.08,0.49884041,0.49884041,0.49884041,0.49884041
0.085,0.52246479,0.52246479,0.52246479,0.52246479
0.09,0.5563007,0.5563007,0.5563007,0.5563007
0.095,0.60543193,0.60543193,0.60543193,0.60543193
0.1,0.65709741,0.65709741,0.65709741,0.65709741
0.11,0.64605148,0.64605148,0.64605148,0.64605148
0.12,0.73890618,0.73890618,0.73890618,0.73890618
0.13,0.89228679,0.89228679,0.89228679,0.89228679
0.133,0.8977389,0.8977389,0.8977389,0.8977389
0.14,0.82340009,0.82340009,0.82340009,0.82340009
0.15,0.76465351,0.76465351,0.76465351,0.76465351
0.16,0.70870576,0.70870576,0.70870576,0.70870576
0.17,0.8639955,0.8639955,0.8639955,0.8639955
0.18,0.86394839,0.86394839,0.86394839,0.86394839
0.19,0.81936687,0.81936687,0.81936687,0.81936687
0.2,0.80795538,0.80795538,0.80795538,0.80795538
0.22,0.90277698,0.90277698,0.90277698,0.90277698
