Run,Goal,Name,File,Number of Procs,realTimeON,expElementType,holdPierON,h_water,gmDir,gmVelFile,gmStartTime,DT_FACTOR,gmScaleFactor,soilProfile,soilEleType,soilConstitutive,soilMesh,eqIntegrator,prePartitionSystem,postPartitionSystem,constraintsHandler,rayleighT1,rayleighT2,rayleighXi1,rayleighXi2,rayleighOffFac,rayleighStiff,rayleighSoilON,rayleighBoundON,rayleighSprPileON,rayleighSprCapFaceON,rayleighSprSoffitON,rayleighPilesON,rayleighCapON,rayleighDeckON,rayleighPierON,rayleighPierHingeON,DateTime,DumpFolder
1,MP CPU integrator+solver ProfileSPD,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (PRODUCTION),MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ParallelProfileSPD,Auto,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 08:36,r+01_20260821_0836_Storm_Wave
1,MP CPU integrator+solver ProfileSPD,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (PRODUCTION),MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ParallelProfileSPD,Auto,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 09:30,r+01_20260821_0930_Storm_Wave
1,MP CPU integrator+solver ProfileSPD,Storm Wave,RunParallel.tcl,16,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (PRODUCTION),MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ParallelProfileSPD,Auto,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 09:49,r+01_20260821_0949_Storm_Wave
-4,MP CUDA integrator+solver,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (PRODUCTION),CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 10:10,r-04_20260821_1010_Storm_Wave
-8,Moderate SSI mesh,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,1 (MODERATE),CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 10:34,r-08_20260821_1034_Storm_Wave
-80,Moderate SSI mesh,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,1 (MODERATE),MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,ParallelProfileSPD,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 10:54,r-80_20260821_1054_Storm_Wave
-81,Moderate SSI mesh,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,1 (MODERATE),MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,Mumps,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 10:58,r-81_20260821_1058_Storm_Wave
-9,Large SSI mesh,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,2 (LARGE),CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 11:02,r-09_20260821_1102_Storm_Wave
-9,Large SSI mesh,Storm Wave,RunParallel.tcl,16,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,2 (LARGE),CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 11:08,r-09_20260821_1108_Storm_Wave
-9,Large SSI mesh,Storm Wave,RunParallel.tcl,24,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,2 (LARGE),CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 11:32,r-09_20260821_1132_Storm_Wave
-9,Large SSI mesh,Storm Wave,RunParallel.tcl,20,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,2 (LARGE),CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 13:03,r-09_20260821_1303_Storm_Wave
-10,X-large SSI mesh,Storm Wave,RunParallel.tcl,24,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,3 (XLARGE),CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 13:12,r-10_20260821_1312_Storm_Wave
-91,MP CPU integrator CUDA solver Large SSI mesh,Storm Wave,RunParallel.tcl,16,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,2 (LARGE),MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 13:42,r-91_20260821_1342_Storm_Wave
-91,MP CPU integrator CUDA solver Large SSI mesh,Storm Wave,RunParallel.tcl,20,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,2 (LARGE),MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 13:58,r-91_20260821_1358_Storm_Wave
-11,Hybrid execute mode,Storm Wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,1 (MODERATE),CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS -hybridExecuteMode 1,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 14:51,r-11_20260821_1451_Storm_Wave
-12,Single precision CuDSS,Storm Wave,RunParallel.tcl,20,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,3 (XLARGE),CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS -precision dFFI,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 15:03,r-12_20260821_1503_Storm_Wave
-120,Single precision CuDSS,Storm Wave,RunParallel.tcl,20,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,3 (XLARGE),CudaMKRAlpha 0.5,UmfPack,DistributedCuDSS -precision dFFI,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 15:12,r-120_20260821_1512_Storm_Wave
