curve,Dr_pct,k_pci
below_water_table,13.656882,9.479268
below_water_table,15.835019,11.139456
below_water_table,17.419227,12.467606
below_water_table,19.201461,13.961775
below_water_table,20.757828,15.764265
below_water_table,22.455515,17.543038
below_water_table,23.935773,19.047619
below_water_table,26.911810,22.448980
below_water_table,29.699831,26.081147
below_water_table,30.888585,27.741335
below_water_table,32.077340,29.401523
below_water_table,33.067993,30.812682
below_water_table,34.058796,32.389861
below_water_table,35.049674,34.050049
below_water_table,36.040253,35.378199
below_water_table,37.229307,37.370424
below_water_table,38.219960,38.781584
below_water_table,39.210913,40.524781
below_water_table,40.399966,42.517007
below_water_table,41.589020,44.509232
below_water_table,42.778223,46.667477
below_water_table,43.769250,48.493683
below_water_table,44.561878,49.738824
below_water_table,45.552980,51.648040
below_water_table,46.544008,53.474247
below_water_table,47.336859,54.968416
below_water_table,48.129711,56.462585
below_water_table,49.120739,58.288792
below_water_table,50.112065,60.447036
below_water_table,50.904693,61.692177
below_water_table,51.697769,63.435374
below_water_table,52.688946,65.427600
below_water_table,53.680123,67.419825
below_water_table,54.473424,69.412051
below_water_table,55.266276,70.906220
below_water_table,56.059128,72.400389
below_water_table,56.852428,74.392614
below_water_table,57.645504,76.135811
below_water_table,58.438356,77.629981
below_water_table,59.231433,79.373178
below_water_table,60.024733,81.365403
below_water_table,60.818034,83.357629
below_water_table,61.611110,85.100826
below_water_table,62.404186,86.844023
below_water_table,63.197487,88.836249
below_water_table,63.990339,90.330418
below_water_table,64.783191,91.824587
below_water_table,65.180738,93.816812
below_water_table,65.974039,95.809038
below_water_table,66.767339,97.801263
below_water_table,67.560640,99.793489
below_water_table,68.353941,101.785714
below_water_table,68.948916,103.279883
below_water_table,69.544340,105.272109
below_water_table,70.337641,107.264334
below_water_table,70.932616,108.758503
below_water_table,71.528040,110.750729
below_water_table,72.321790,113.241011
below_water_table,73.115090,115.233236
below_water_table,73.908840,117.723518
below_water_table,74.503815,119.217687
below_water_table,74.900914,120.711856
below_water_table,75.496338,122.704082
below_water_table,76.290087,125.194363
below_water_table,77.083837,127.684645
below_water_table,77.679261,129.676871
below_water_table,78.076360,131.171040
below_water_table,78.473459,132.665209
below_water_table,79.068883,134.657434
below_water_table,79.664307,136.649660
below_water_table,80.061406,138.143829
below_water_table,80.458505,139.637998
below_water_table,80.855604,141.132167
below_water_table,81.252703,142.626336
below_water_table,81.649802,144.120505
below_water_table,82.047350,146.112731
below_water_table,82.444449,147.606900
below_water_table,82.841548,149.101069
below_water_table,83.437421,151.591351
below_water_table,84.231394,154.330661
below_water_table,84.430841,156.073858
above_water_table,13.656882,9.479268
above_water_table,16.033119,11.388484
above_water_table,18.409880,13.878766
above_water_table,20.787239,17.033123
above_water_table,23.165122,20.768546
above_water_table,25.543453,25.002025
above_water_table,27.922084,29.567541
above_water_table,30.301088,34.548105
above_water_table,32.680915,40.441772
above_water_table,35.060742,46.335439
above_water_table,37.242558,52.079689
above_water_table,39.226617,57.956754
above_water_table,41.210856,64.033042
above_water_table,42.996590,69.412051
above_water_table,44.584537,74.890671
above_water_table,46.172372,80.244776
above_water_table,47.760432,85.847911
above_water_table,49.348603,91.575559
above_water_table,50.937224,97.801263
above_water_table,52.525620,103.777940
above_water_table,54.114352,110.128158
above_water_table,55.703309,116.727405
above_water_table,57.292490,123.575680
above_water_table,58.682823,129.344833
above_water_table,60.073754,135.778061
above_water_table,61.464610,142.128280
above_water_table,62.855466,148.478499
above_water_table,64.445096,155.824830
above_water_table,65.836886,163.212666
above_water_table,67.029380,169.023324
above_water_table,68.222023,175.000000
above_water_table,69.415414,181.806770
above_water_table,70.608356,188.115484
above_water_table,71.801598,194.756236
above_water_table,72.994540,201.064950
above_water_table,74.187781,207.705701
above_water_table,75.462708,213.945578
above_water_table,76.574862,221.651280
above_water_table,77.768851,229.122125
above_water_table,78.962691,236.426952
above_water_table,80.156680,243.897797
above_water_table,81.350819,251.534661
above_water_table,82.346632,258.673469
above_water_table,83.342147,265.480240
above_water_table,84.337736,272.370019
above_water_table,84.935179,276.603499
